Node ID,Latitude,Longitude,Properties
137584328,36.1382980,-115.1313850,0
137584333,36.1382200,-115.1313400,0
137584338,36.1381860,-115.1312590,0
137584341,36.1382000,-115.1294200,0
137584343,36.1381990,-115.1283970,0
137584346,36.1381720,-115.1283550,0
137590038,36.1271320,-115.1346020,0
137590040,36.1270960,-115.1345380,0
137590042,36.1270780,-115.1344650,0
137590044,36.1270920,-115.1327380,0
137590047,36.1271410,-115.1323410,0
137590049,36.1272300,-115.1319730,0
137590051,36.1273640,-115.1316490,0
137590053,36.1278520,-115.1307390,0
137590054,36.1292150,-115.1282980,0
137590056,36.1293970,-115.1281720,0
137590058,36.1295880,-115.1281190,0
137590060,36.1308450,-115.1281380,0
137590062,36.1323260,-115.1281710,0
137590063,36.1328420,-115.1281700,0
137590065,36.1329790,-115.1281140,0
137592350,36.1334170,-115.1159330,0
137599141,36.1334270,-115.1195100,0
137599144,36.1307950,-115.1194940,0
137599574,36.1272500,-115.1346500,0
137599576,36.1271810,-115.1346410,0
137600242,36.1396460,-115.1294600,0
137600244,36.1389270,-115.1294400,0
137612565,36.1322950,-115.1580080,0
137612567,36.1319190,-115.1580140,0
137612570,36.1310200,-115.1579510,0
137615642,36.1357842,-115.1547921,0
137615644,36.1357751,-115.1543503,0
137615646,36.1351585,-115.1533392,0
137615647,36.1351960,-115.1530500,0
137615650,36.1352670,-115.1528900,0
137615653,36.1354750,-115.1525730,0
137615655,36.1356690,-115.1524070,0
137615659,36.1359010,-115.1523160,0
137615662,36.1360390,-115.1523070,0
137615665,36.1362520,-115.1523500,0
137615667,36.1364100,-115.1524370,0
137615670,36.1365350,-115.1525370,0
137615673,36.1382293,-115.1535023,0
137615676,36.1366419,-115.1541117,0
137615681,36.1364201,-115.1540516,0
137615688,36.1361428,-115.1542061,0
137615690,36.1360250,-115.1544550,0
137620052,36.1370290,-115.1141960,0
137621680,36.1009560,-115.1369020,0
137627794,36.1193820,-115.1570710,0
137627798,36.1194320,-115.1568450,0
137627801,36.1194560,-115.1566550,0
137627804,36.1194510,-115.1561110,0
137628754,36.1184720,-115.1549780,0
137631482,36.1338640,-115.1419350,0
137636215,36.1433394,-115.1517305,0
137636218,36.1426472,-115.1514875,0
137636221,36.1414147,-115.1514010,0
137636224,36.1405801,-115.1518221,0
137637325,36.1138820,-115.1568220,0
137637328,36.1135880,-115.1568930,0
137637331,36.1134690,-115.1569800,0
137637334,36.1133850,-115.1570750,0
137637337,36.1133230,-115.1571960,0
137637340,36.1132600,-115.1574120,0
137637344,36.1132470,-115.1577150,turning_circle
137638477,36.1474890,-115.1527620,0
137638480,36.1473470,-115.1527500,0
137638483,36.1472180,-115.1527660,0
137638486,36.1470950,-115.1528090,0
137638498,36.1443393,-115.1545355,0
137638501,36.1440030,-115.1546655,0
137638504,36.1436239,-115.1547462,0
137638507,36.1322730,-115.1548030,0
137638522,36.1177420,-115.1549290,0
137638525,36.1169730,-115.1547930,0
137638528,36.1167871,-115.1547562,0
137639698,36.0929040,-115.1368340,0
137643697,36.1260800,-115.1384350,0
137643699,36.1258720,-115.1385410,0
137644649,36.1232700,-115.1319240,0
137644652,36.1231150,-115.1314660,0
137644655,36.1230220,-115.1310070,0
137644658,36.1229840,-115.1305730,0
137644661,36.1229940,-115.1276410,0
137644664,36.1229690,-115.1274760,0
137644667,36.1229090,-115.1273200,0
137644670,36.1226520,-115.1268490,0
137644673,36.1225700,-115.1266280,0
137644678,36.1219320,-115.1238060,0
137644681,36.1217790,-115.1234160,0
137644684,36.1217090,-115.1232750,0
137644687,36.1216160,-115.1231730,0
137644872,36.1322790,-115.1317830,0
137645840,36.1124980,-115.1383750,turning_circle
137645844,36.1124490,-115.1382260,0
137645847,36.1124710,-115.1377120,0
137646727,36.1374790,-115.1282900,0
137646730,36.1368740,-115.1282670,0
137646733,36.1359840,-115.1282470,0
137648710,36.1184550,-115.1539872,0
137649554,36.1305090,-115.1355940,0
137649557,36.1304510,-115.1356140,0
